Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","1N4148","D_SOD-123",136.144000,-82.296000,-90.000000,top
"D2","1N4148","D_SOD-123",133.858000,-87.630000,-90.000000,top
"D3","1N4148","D_SOD-123",131.826000,-92.964000,-90.000000,top
"D4","1N4148","D_SOD-123",130.048000,-98.298000,-90.000000,top
"D5","1N4148","D_SOD-123",138.176000,-87.630000,-90.000000,top
"D6","1N4148","D_SOD-123",135.890000,-92.964000,-90.000000,top
"D7","1N4148","D_SOD-123",133.858000,-98.298000,-90.000000,top
"D8","1N4148","D_SOD-123",131.826000,-103.886000,-90.000000,top
"D9","1N4148","D_SOD-123",139.700000,-92.964000,-90.000000,top
"D10","1N4148","D_SOD-123",137.668000,-98.298000,-90.000000,top
"D11","1N4148","D_SOD-123",135.890000,-103.886000,-90.000000,top
"D12","1N4148","D_SOD-123",134.112000,-109.474000,-90.000000,top
"D13","1N4148","D_SOD-123",141.478000,-98.298000,-90.000000,top
"D14","1N4148","D_SOD-123",139.700000,-103.886000,-90.000000,top
"D15","1N4148","D_SOD-123",137.668000,-109.474000,-90.000000,top
"D16","1N4148","D_SOD-123",136.144000,-115.062000,-90.000000,top
"D17","1N4148","D_SOD-123",170.180000,-82.042000,-90.000000,top
"D18","1N4148","D_SOD-123",172.720000,-88.138000,-90.000000,top
"D19","1N4148","D_SOD-123",174.752000,-93.980000,-90.000000,top
"D20","1N4148","D_SOD-123",176.530000,-99.822000,-90.000000,top
"D21","1N4148","D_SOD-123",168.402000,-88.138000,-90.000000,top
"D22","1N4148","D_SOD-123",170.434000,-93.980000,-90.000000,top
"D23","1N4148","D_SOD-123",172.466000,-99.822000,-90.000000,top
"D24","1N4148","D_SOD-123",174.498000,-105.410000,-90.000000,top
"D25","1N4148","D_SOD-123",166.370000,-93.980000,-90.000000,top
"D26","1N4148","D_SOD-123",168.148000,-99.822000,-90.000000,top
"D27","1N4148","D_SOD-123",170.180000,-105.410000,-90.000000,top
"D28","1N4148","D_SOD-123",172.466000,-110.998000,-90.000000,top
"D29","1N4148","D_SOD-123",164.084000,-99.822000,-90.000000,top
"D30","1N4148","D_SOD-123",165.862000,-105.410000,-90.000000,top
"D31","1N4148","D_SOD-123",167.894000,-110.998000,-90.000000,top
"D32","1N4148","D_SOD-123",170.180000,-116.586000,-90.000000,top
"J1","Conn_01x12_Female","FPC-SMD_FPC05012-09200-.5mm-rev",152.908000,-112.912000,0.000000,top
"R1","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.892000,-108.204000,180.000000,top
"R2","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.464000,-108.204000,0.000000,top
