Ref,Val,Package,PosX,PosY,Rot,Side
"PAD1","","bat",192.130000,-50.619949,-60.000000,top
"SW1","SW_Push","Kailh_hotswap_MX-CHOC-connected",62.545805,-44.244244,-22.000000,top
"SW2","SW_Push","Kailh_hotswap_MX-CHOC-connected",55.428570,-61.861145,-22.000000,top
"SW3","SW_Push","Kailh_hotswap_MX-CHOC-connected",37.354302,-46.325507,-15.000000,top
"SW4","SW_Push","Kailh_hotswap_MX-CHOC-connected",86.091612,-48.665691,-27.000000,top
"SW5","SW_Push","Kailh_hotswap_MX-CHOC-connected",77.465796,-65.594815,-27.000000,top
"SW6","SW_Push","Kailh_hotswap_MX-CHOC-connected",48.310756,-79.477230,-22.000000,top
"SW7","SW_Push","Kailh_hotswap_MX-CHOC-connected",32.444251,-64.695898,-15.000000,top
"SW8","SW_Push","Kailh_hotswap_MX-CHOC-connected",101.439730,-61.330313,-27.000000,top
"SW9","SW_Push","Kailh_hotswap_MX-CHOC-connected",92.813908,-78.259438,-27.000000,top
"SW10","SW_Push","Kailh_hotswap_MX-CHOC-connected",68.839974,-82.523940,-27.000000,top
"SW11","SW_Push","Kailh_hotswap_MX-CHOC-connected",79.432579,-114.947159,-27.000000,top
"SW12","SW_Push","Kailh_hotswap_MX-CHOC-connected",121.435346,-150.469387,0.000000,top
"SW13","SW_Push","Kailh_hotswap_MX-CHOC-connected",114.791330,-77.448007,-27.000000,top
"SW14","SW_Push","Kailh_hotswap_MX-CHOC-connected",106.165509,-94.377129,-27.000000,top
"SW15","SW_Push","Kailh_hotswap_MX-CHOC-connected",84.188091,-95.188563,-27.000000,top
"SW16","SW_Push","Kailh_hotswap_MX-CHOC-connected",94.705249,-127.805262,-27.000000,top
"SW17","SW_Push","Kailh_hotswap_MX-CHOC-connected",140.715344,-152.586078,0.000000,top
"SW18","SW_Push","Kailh_hotswap_MX-CHOC-connected",184.994612,-77.374165,27.000000,top
"SW19","SW_Push","Kailh_hotswap_MX-CHOC-connected",193.620430,-94.303290,27.000000,top
"SW20","SW_Push","Kailh_hotswap_MX-CHOC-connected",215.597850,-95.114724,27.000000,top
"SW21","SW_Push","Kailh_hotswap_MX-CHOC-connected",205.080694,-127.731420,27.000000,top
"SW22","SW_Push","Kailh_hotswap_MX-CHOC-connected",160.040932,-152.589385,0.000000,top
"SW23","SW_Push","Kailh_hotswap_MX-CHOC-connected",230.735006,-82.529190,27.000000,top
"SW24","SW_Push","Kailh_hotswap_MX-CHOC-connected",198.346215,-61.256473,27.000000,top
"SW25","SW_Push","Kailh_hotswap_MX-CHOC-connected",206.972030,-78.185598,27.000000,top
"SW26","SW_Push","Kailh_hotswap_MX-CHOC-connected",220.353362,-114.873321,27.000000,top
"SW27","SW_Push","Kailh_hotswap_MX-CHOC-connected",179.344934,-150.811386,0.000000,top
"SW28","SW_Push","Kailh_hotswap_MX-CHOC-connected",213.483369,-48.670943,27.000000,top
"SW29","SW_Push","Kailh_hotswap_MX-CHOC-connected",222.109189,-65.600069,27.000000,top
"SW30","SW_Push","Kailh_hotswap_MX-CHOC-connected",251.264399,-79.482866,22.000000,top
"SW31","SW_Push","Kailh_hotswap_MX-CHOC-connected",267.130802,-64.702496,15.000000,top
"SW32","SW_Push","Kailh_hotswap_MX-CHOC-connected",237.029350,-44.249880,22.000000,top
"SW33","SW_Push","Kailh_hotswap_MX-CHOC-connected",244.146874,-61.866371,22.000000,top
"SW34","SW_Push","Kailh_hotswap_MX-CHOC-connected",262.204578,-46.342448,15.000000,top
"SW35","SW_Push","SW_SPST_Omron_B3FS-100xP",152.677347,-46.368078,0.000000,top
"SW36","RotaryEncoder","PERS56v2",149.843347,-98.302077,140.000000,top
"SW37","SW_SPDT","SW_CuK_OS102011MA1QN1_SPDT_Angled",187.288000,-44.732000,125.000000,top
"U5","DRV2605L","Pimoroni Haptic Buzz DRV2605L Driver",170.203346,-53.988078,-63.000000,top
