Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,C77456
C2,0805,1,1uF,C366879
C3,0805,1,4.7uF,C303940
C4,0805,1,0.1uF,C77456
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D42, D43, D44, D45, D46, D5, D6, D7, D8, D9",D_SOD-123,24,1N4148,C8598
"D21, D25, D34, D37, D38, D4, D49, D50, D51, D52",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10,WS2812B,
"D22, D23, D24, D26, D27, D28, D29, D30, D31, D32, D33, D35, D36, D39, D40",MX_SK6812MINI-E_REV,15,SK6812MINI-E,
D41,SOT-143,1,PRTR5V0U2X,C12333
HAT1,5Way-non-reverse,1,5Way-Tactile_K1-1506DN-01,
J1,Screen Dupont,1,Conn_01x08_Female,
J2,TRRS-PJ-320A,1,AudioJack4dpb,
R1,0805,1,39,C514993
R2,0805,1,10K,C406725
R3,0805,1,10K,C406725
"SW1, SW10, SW11, SW13, SW14, SW15, SW17, SW18, SW19, SW2, SW3, SW5, SW6, SW7, SW9",Kailh_hotswap_only_MX-CHOC,15,SW_Push,
"SW12, SW16, SW8",Silent Square Micro Switch,3,SW_Push,
SW20,SKQG-1155865,1,SW_Push,C221856
SW21,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified,1,Rotary_Encoder_Switch,
U1,Helios,1,Helios,
U2,SOT-363_SC-70-6,1,74LVC1T45,C139353
U3,SOT-23-5,1,"TCR2EF19,LM(CT",C146366
U4,PMW3360DM-T2QU,1,PMW3360DM-T2QU,
U5,Pimoroni Haptic Buzz DRV2605L Driver,1,DRV2605L,
